# Age =     0.037774
# [Fe/H]_init  =     0.133103
# ranom =     0.000000
# Mass         Radius         logL           logg           Teff           [Fe/H]_surf    Radius_0       Teff_0         logg_0         Xc             
     0.70053738     0.62524539    -0.89387399     4.69112539  4366.51855469     0.12939176     0.62524539  4366.51855469     4.69112539     0.70641822
     0.70122135     0.62592787    -0.89208829     4.69060087  4368.63574219     0.12938960     0.62592787  4368.63574219     4.69060087     0.70642453
     0.70190525     0.62660450    -0.89030766     4.69008589  4370.75830078     0.12938932     0.62660450  4370.75830078     4.69008589     0.70643055
     0.70258915     0.62727565    -0.88853025     4.68957949  4372.90917969     0.12939020     0.62727565  4372.90917969     4.68957949     0.70643616
     0.70327312     0.62794232    -0.88675421     4.68907976  4375.06542969     0.12939112     0.62794232  4375.06542969     4.68907976     0.70644099
     0.70395702     0.62860435    -0.88497871     4.68858719  4377.23486328     0.12939173     0.62860435  4377.23486328     4.68858719     0.70644504
     0.70464098     0.62926179    -0.88320267     4.68810272  4379.42431641     0.12939212     0.62926179  4379.42431641     4.68810272     0.70644802
     0.70532489     0.62991434    -0.88142633     4.68762493  4381.63671875     0.12939234     0.62991434  4381.63671875     4.68762493     0.70645028
     0.70600879     0.63056189    -0.87964869     4.68715525  4383.87451172     0.12939255     0.63056189  4383.87451172     4.68715525     0.70645159
     0.70669276     0.63120472    -0.87786967     4.68669271  4386.12744141     0.12939276     0.63120472  4386.12744141     4.68669271     0.70645231
     0.70737666     0.63184297    -0.87608922     4.68623686  4388.40625000     0.12939323     0.63184297  4388.40625000     4.68623686     0.70645201
     0.70806062     0.63247633    -0.87430733     4.68578911  4390.71240234     0.12939392     0.63247633  4390.71240234     4.68578911     0.70645100
     0.70874453     0.63310391    -0.87252438     4.68534851  4393.04150391     0.12939477     0.63310391  4393.04150391     4.68534851     0.70644951
     0.70942843     0.63372546    -0.87074107     4.68491554  4395.39306641     0.12939541     0.63372546  4395.39306641     4.68491554     0.70644772
     0.71011239     0.63434243    -0.86895710     4.68448877  4397.76855469     0.12939587     0.63434243  4397.76855469     4.68448877     0.70644569
     0.71079630     0.63495749    -0.86717218     4.68406534  4400.16894531     0.12939718     0.63495749  4400.16894531     4.68406534     0.70644367
     0.71148026     0.63557273    -0.86538523     4.68364573  4402.58251953     0.12940021     0.63557273  4402.58251953     4.68364573     0.70644170
     0.71216416     0.63618553    -0.86359620     4.68322802  4404.99316406     0.12940335     0.63618553  4404.99316406     4.68322802     0.70643955
     0.71284807     0.63679338    -0.86180520     4.68281269  4407.39257812     0.12940387     0.63679338  4407.39257812     4.68281269     0.70643663
     0.71353203     0.63739765    -0.86001366     4.68240070  4409.81054688     0.12940229     0.63739765  4409.81054688     4.68240070     0.70643431
     0.71421593     0.63800138    -0.85822272     4.68199110  4412.26562500     0.12940110     0.63800138  4412.26562500     4.68199110     0.70643455
     0.71489990     0.63860488    -0.85643202     4.68158531  4414.75390625     0.12940145     0.63860488  4414.75390625     4.68158531     0.70643646
     0.71558380     0.63920492    -0.85464281     4.68118095  4417.24609375     0.12940244     0.63920492  4417.24609375     4.68118095     0.70643669
     0.71626770     0.63980228    -0.85285473     4.68078041  4419.72753906     0.12940280     0.63980228  4419.72753906     4.68078041     0.70643461
     0.71695167     0.64040160    -0.85106456     4.68037987  4422.21289062     0.12940145     0.64040160  4422.21289062     4.68037987     0.70643264
     0.71763557     0.64100420    -0.84927183     4.67997837  4424.71435547     0.12939966     0.64100420  4424.71435547     4.67997837     0.70643073
     0.71831954     0.64160848    -0.84747708     4.67957783  4427.20703125     0.12940048     0.64160848  4427.20703125     4.67957783     0.70642895
     0.71900344     0.64221263    -0.84568155     4.67917681  4429.68212891     0.12940425     0.64221263  4429.68212891     4.67917681     0.70642734
     0.71968734     0.64281374    -0.84388691     4.67877817  4432.17285156     0.12940778     0.64281374  4432.17285156     4.67877817     0.70642656
     0.72037131     0.64340997    -0.84209466     4.67838383  4434.69677734     0.12940873     0.64340997  4434.69677734     4.67838383     0.70642698
     0.72105521     0.64400280    -0.84030581     4.67799139  4437.22216797     0.12940823     0.64400280  4437.22216797     4.67799139     0.70642692
     0.72173917     0.64459521    -0.83851898     4.67759848  4439.73681641     0.12940797     0.64459521  4439.73681641     4.67759848     0.70642465
     0.72242308     0.64518911    -0.83673221     4.67720556  4442.25048828     0.12940815     0.64518911  4442.25048828     4.67720556     0.70642096
     0.72310698     0.64578414    -0.83494389     4.67681408  4444.76562500     0.12940836     0.64578414  4444.76562500     4.67681408     0.70641822
     0.72379094     0.64638025    -0.83315265     4.67642307  4447.29638672     0.12940831     0.64638025  4447.29638672     4.67642307     0.70641768
     0.72447485     0.64697641    -0.83135945     4.67603350  4449.83642578     0.12940802     0.64697641  4449.83642578     4.67603350     0.70641816
     0.72515881     0.64757222    -0.82956332     4.67564297  4452.38964844     0.12940769     0.64757222  4452.38964844     4.67564297     0.70641750
     0.72584271     0.64816725    -0.82776499     4.67525387  4454.96435547     0.12940753     0.64816725  4454.96435547     4.67525387     0.70641452
     0.72652662     0.64876121    -0.82596695     4.67486525  4457.53320312     0.12940766     0.64876121  4457.53320312     4.67486525     0.70640975
     0.72721058     0.64935476    -0.82417232     4.67447996  4460.10839844     0.12940788     0.64935476  4460.10839844     4.67447996     0.70640546
     0.72789448     0.64994794    -0.82238334     4.67409849  4462.66992188     0.12940791     0.64994794  4462.66992188     4.67409849     0.70640260
     0.72857845     0.65054089    -0.82059824     4.67371655  4465.21386719     0.12940753     0.65054089  4465.21386719     4.67371655     0.70640111
